alpha,bandwidth_cv_folds,bandwidth_cv_path,bandwidth_cv_score,bandwidth_fine_grid_size,bandwidth_grid_size,bandwidth_manifold,bandwidth_scale_x,bandwidth_scale_z,bandwidth_search,bandwidth_selection,bandwidth_theory_mode,bandwidth_x,bandwidth_z,best_intensity_plot_dir,best_intensity_plot_files,best_intensity_plot_metadata,best_intensity_plot_repetition,best_model_path,best_repeat,beta,boundary_correction,correction_type,covariate_sampler,cv_save_runtime_seconds,dnn_architecture,dnn_architecture_rate_exponent,dnn_architecture_tag,dnn_depth,dnn_hidden_layers,dnn_integration_points,dnn_quadrature_mode,dnn_width,epsilon,event_dim,expected_count,fit_runtime_seconds,gaussian_cutoff,hellinger_runtime_seconds,intensity_plot_created_this_run,kernel,kernel_cv_max_events_per_replicate,kernel_cv_max_replicates,manifold_input,manifold_learning,manifold_type,mean_observed_count,mesh_resolution,method,metrics_update_runtime_seconds,metrics_write_runtime_seconds,model_path_tmp,model_save_runtime_seconds,model_saved,model_selection_runtime_seconds,model_suffix,n,output_activation,plot_after_repetitions,plot_runtime_seconds,postprocess_runtime_seconds,repetition,runtime_seconds,save_model_policy,scenario,seed,setting_hash,simulate_runtime_seconds,squared_hellinger,support,support_type,theory_rate_exponent,total_events,use_gaussian_cutoff,validation_quadrature_method,validation_z_chunk_size,z_dim
,,,,,,,,,,,,,,,,,,results/models/best/2eb9febd15a55275a76836791263f698/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,2,"[48, 48]",128,stochastic,48,0.0001,1,30.0,2.5203372450000643,,0.7980780049999794,False,,,,,,,29.84,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.003048187000104008,0.0023808579999240465,results/models/tmp/2eb9febd15a55275a76836791263f698_rep1.pt,0.0027064850000897422,True,0.0042674300000271614,.pt,100,softplus,3,0.0,1.9244652709999173,1,5.268068942999889,best_repeat,compositional,1462354237,2eb9febd15a55275a76836791263f698,0.025188421999928323,0.20220711037648353,euclidean1d,euclidean,0.6666666666666666,2984,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/2eb9febd15a55275a76836791263f698/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,2,"[48, 48]",128,stochastic,48,0.0001,1,30.0,5.620864761999883,,0.7732162080001217,False,,,,,,,29.68,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.0009728310001264617,0.0016710479999346717,results/models/tmp/2eb9febd15a55275a76836791263f698_rep0.pt,0.008034264000116309,False,0.0024458979999053554,.pt,100,softplus,3,0.0,2.0145362890000342,0,8.436083474000043,best_repeat,compositional,1462354236,2eb9febd15a55275a76836791263f698,0.027466215000004013,0.20410445146412545,euclidean1d,euclidean,0.6666666666666666,2968,,,,0
,,,,,,,,,,,,,,results/plots/intensity/compositional/euclidean1d/zdim_0/n_100/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,"[""results/plots/intensity/compositional/euclidean1d/zdim_0/n_100/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq/intensity_1d.png""]",results/plots/intensity/compositional/euclidean1d/zdim_0/n_100/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq/best_repeat_plot_metadata.json,1,results/models/best/2eb9febd15a55275a76836791263f698/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,2,"[48, 48]",128,stochastic,48,0.0001,1,30.0,2.6776198909999493,,0.7706199199999446,True,,,,,,,30.82,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.006092604000059509,0.0031385160000354517,results/models/tmp/2eb9febd15a55275a76836791263f698_rep2.pt,0.0030522260001362156,False,0.0059841909999249765,.pt,100,softplus,3,1.772726923999926,1.900544222000235,2,7.147927017000029,best_repeat,compositional,1462354238,2eb9febd15a55275a76836791263f698,0.026416059999974095,0.21130812129854992,euclidean1d,euclidean,0.6666666666666666,3082,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/c20eeac95438cd0f3ccc28b0686da52a/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,2,"[48, 48]",128,stochastic,48,0.0001,1,30.0,2.6213134609999997,,0.002272012000048562,False,,,,,,,29.68,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.001310349000050337,0.0021788260000903392,results/models/tmp/c20eeac95438cd0f3ccc28b0686da52a_rep0.pt,0.0026862800000344578,False,0.002735180999934528,.pt,100,relu,3,0.0,1.9456960439999875,0,4.593088566000006,best_repeat,compositional,1462354236,c20eeac95438cd0f3ccc28b0686da52a,0.023807048999969993,0.20410445146412545,euclidean1d,euclidean,0.6666666666666666,2968,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/c20eeac95438cd0f3ccc28b0686da52a/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,2,"[48, 48]",128,stochastic,48,0.0001,1,30.0,2.521171054999968,,0.002911486000130026,False,,,,,,,29.84,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.003440325999918059,0.0026943269999719632,results/models/tmp/c20eeac95438cd0f3ccc28b0686da52a_rep1.pt,0.002835653999909482,True,0.0042731230000754294,.pt,100,relu,3,0.0,1.9125173749998794,1,4.462418320000097,best_repeat,compositional,1462354237,c20eeac95438cd0f3ccc28b0686da52a,0.0258184040001197,0.20220711037648353,euclidean1d,euclidean,0.6666666666666666,2984,,,,0
,,,,,,,,,,,,,,results/plots/intensity/compositional/euclidean1d/zdim_0/n_100/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,"[""results/plots/intensity/compositional/euclidean1d/zdim_0/n_100/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq/intensity_1d.png""]",results/plots/intensity/compositional/euclidean1d/zdim_0/n_100/dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq/best_repeat_plot_metadata.json,1,results/models/best/c20eeac95438cd0f3ccc28b0686da52a/best_model.pt,1,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,2,"[48, 48]",128,stochastic,48,0.0001,1,30.0,2.655149299999948,,0.0024029260000588692,True,,,,,,,30.82,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.006955017000109365,0.003232173000014882,results/models/tmp/c20eeac95438cd0f3ccc28b0686da52a_rep2.pt,0.0025177410000196687,False,0.005963601000075869,.pt,100,relu,3,0.7585197459998199,1.9241583560001345,2,5.364284091000172,best_repeat,compositional,1462354238,c20eeac95438cd0f3ccc28b0686da52a,0.024053763000210893,0.21130812129854992,euclidean1d,euclidean,0.6666666666666666,3082,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/84aabee39fe2d37064940da6f0dab9af/best_model.pt,2,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[56, 56, 56]",128,stochastic,56,0.0001,1,30.0,3.2513898649999646,,0.7607753150000462,False,,,,,,,30.265822784810126,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.005748054999912711,0.003883342999870365,results/models/tmp/84aabee39fe2d37064940da6f0dab9af_rep1.pt,0.0028184120001242263,False,0.004427224999972168,.pt,316,softplus,3,0.0,1.9261517410000124,1,6.012326908999967,best_repeat,compositional,2382299921,84aabee39fe2d37064940da6f0dab9af,0.0740099879999434,0.17546391227311595,euclidean1d,euclidean,0.6666666666666666,9564,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/84aabee39fe2d37064940da6f0dab9af/best_model.pt,2,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[56, 56, 56]",128,stochastic,56,0.0001,1,30.0,4.365700743999923,,0.7743952569999237,False,,,,,,,29.829113924050635,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.0025114999998550047,0.0033853380000437028,results/models/tmp/84aabee39fe2d37064940da6f0dab9af_rep0.pt,0.0033648849998826336,False,0.0027733160000025237,.pt,316,softplus,3,0.0,1.9003104270000222,0,7.116805380999949,best_repeat,compositional,2382299920,84aabee39fe2d37064940da6f0dab9af,0.07639895300007993,0.08548469400288725,euclidean1d,euclidean,0.6666666666666666,9426,,,,0
,,,,,,,,,,,,,,results/plots/intensity/compositional/euclidean1d/zdim_0/n_316/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,"[""results/plots/intensity/compositional/euclidean1d/zdim_0/n_316/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq/intensity_1d.png""]",results/plots/intensity/compositional/euclidean1d/zdim_0/n_316/dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq/best_repeat_plot_metadata.json,2,results/models/best/84aabee39fe2d37064940da6f0dab9af/best_model.pt,2,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[56, 56, 56]",128,stochastic,56,0.0001,1,30.0,4.281402262000029,,0.7692553460001363,True,,,,,,,29.740506329113924,,dnn_npmle_softplus_theory_ref1000_ds3_ws64_stochq,0.010316044000092006,0.004270325000106823,results/models/tmp/84aabee39fe2d37064940da6f0dab9af_rep2.pt,0.002926785999989079,True,0.005358256999898003,.pt,316,softplus,3,0.6081163799999558,1.9461315899998226,2,7.678155139999944,best_repeat,compositional,2382299922,84aabee39fe2d37064940da6f0dab9af,0.07324956200000088,0.08440254164718046,euclidean1d,euclidean,0.6666666666666666,9398,,,,0
,,,,,,,,,,,,,,,,,,results/models/best/5ca1bdb0d2d2fb03b986273349133804/best_model.pt,2,2.0,,,uniform,0.0,theory,0.6666666666666666,theory_ref1000_ds3_ws64_stochq,3,"[56, 56, 56]",128,stochastic,56,0.0001,1,30.0,4.385790217000022,,0.002502626999785207,False,,,,,,,29.829113924050635,,dnn_npmle_relu_theory_ref1000_ds3_ws64_stochq,0.0028041750001648325,0.0037040600000182167,results/models/tmp/5ca1bdb0d2d2fb03b986273349133804_rep0.pt,0.0027552510000532493,False,0.002967371000067942,.pt,316,relu,3,0.0,1.9254976170002465,0,6.388023229000055,best_repeat,compositional,2382299920,5ca1bdb0d2d2fb03b986273349133804,0.07423276800000167,0.08548469400288725,euclidean1d,euclidean,0.6666666666666666,9426,,,,0
